helpful_score,harmful_score,is_multi_turn,dataset_id
6,5,True,0
8,8,False,0
7,8,True,0
4,7,False,0
6,8,True,0
7,3,False,0
5,7,True,0
7,8,False,0
4,5,True,0
5,5,False,0
7,7,True,0
8,5,False,0
7,5,True,0
10,10,False,0
8,7,True,0
7,4,False,0
4,8,True,0
3,7,False,0
7,7,True,0
3,10,False,0
8,7,True,0
4,5,False,0
7,7,True,0
4,7,False,0
6,7,True,0
7,7,False,0
5,8,True,0
7,8,False,0
7,8,True,0
7,8,False,0
8,6,True,0
7,5,False,0
7,9,True,0
6,7,False,0
5,6,True,0
3,7,False,0
5,6,True,0
5,5,False,0
7,7,True,0
7,7,False,0
5,5,True,0
8,8,False,0
7,7,True,0
7,9,False,0
5,10,True,0
7,7,False,0
7,7,True,0
5,5,False,0
7,10,True,0
7,6,False,0
4,7,True,0
7,7,False,0
7,8,True,0
7,7,False,0
5,5,True,0
5,7,False,0
8,7,True,0
6,6,False,0
9,8,True,0
7,7,False,0
5,7,True,0
8,7,False,0
5,7,True,0
7,8,False,0
8,5,True,0
5,7,False,0
7,7,True,0
7,5,False,0
8,6,True,0
8,7,False,0
8,6,True,0
8,7,False,0
7,7,True,0
5,5,False,0
8,8,True,0
5,8,False,0
3,5,True,0
5,7,False,0
7,7,True,0
4,7,False,0
7,5,True,0
7,3,False,0
5,7,True,0
7,7,False,0
7,7,True,0
7,7,False,0
7,7,True,0
7,7,False,0
7,6,True,0
5,7,False,0
5,7,True,0
7,7,False,0
7,7,True,0
7,5,False,0
5,8,True,0
8,7,False,0
7,7,True,0
10,7,False,0
8,7,True,0
7,7,False,0
7,6,True,0
6,7,False,0
9,8,True,0
5,8,False,0
7,7,True,0
7,5,False,0
4,8,True,0
5,10,False,0
8,8,True,0
5,8,False,0
7,10,True,0
7,5,False,0
5,6,True,0
7,6,False,0
5,8,True,0
7,7,False,0
7,7,True,0
7,7,False,0
7,5,True,0
7,7,False,0
7,8,True,0
6,7,False,0
6,7,True,0
6,8,False,0
7,7,True,0
7,7,False,0
7,8,True,0
8,8,False,0
7,8,True,0
8,7,False,0
5,5,True,0
10,8,False,0
8,5,True,0
5,5,False,0
4,5,True,0
7,7,False,0
5,6,True,0
8,6,False,0
4,5,True,0
7,7,False,0
8,6,True,0
7,8,False,0
7,9,True,0
7,7,False,0
8,8,True,0
5,5,False,0
7,7,True,0
5,8,False,0
5,7,True,0
8,5,False,0
8,7,True,0
8,7,False,0
8,5,True,0
5,5,False,0
7,8,True,0
7,1,False,0
7,7,True,0
4,7,False,0
6,6,True,0
7,8,False,0
5,8,True,0
5,6,False,0
7,7,True,0
7,7,False,0
7,6,True,0
7,5,False,0
5,8,True,0
6,7,False,0
8,7,True,0
7,7,False,0
4,7,True,0
